PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title
1,0,3,"Braund, Mr. Owen Harris",0,22.0,1,0,A/5 21171,7.25,,S,Mr
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,38.0,1,0,PC 17599,71.2833,C85,C,Mrs
3,1,3,"Heikkinen, Miss. Laina",1,26.0,0,0,STON/O2. 3101282,7.925,,S,Miss
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,35.0,1,0,113803,53.1,C123,S,Mrs
5,0,3,"Allen, Mr. William Henry",0,35.0,0,0,373450,8.05,,S,Mr
6,0,3,"Moran, Mr. James",0,32.37,0,0,330877,8.4583,,Q,Mr
7,0,1,"McCarthy, Mr. Timothy J",0,54.0,0,0,17463,51.8625,E46,S,Mr
8,0,3,"Palsson, Master. Gosta Leonard",0,2.0,3,1,349909,21.075,,S,Master
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,27.0,0,2,347742,11.1333,,S,Mrs
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,14.0,1,0,237736,30.0708,,C,Mrs
11,1,3,"Sandstrom, Miss. Marguerite Rut",1,4.0,1,1,PP 9549,16.7,G6,S,Miss
12,1,1,"Bonnell, Miss. Elizabeth",1,58.0,0,0,113783,26.55,C103,S,Miss
13,0,3,"Saundercock, Mr. William Henry",0,20.0,0,0,A/5. 2151,8.05,,S,Mr
14,0,3,"Andersson, Mr. Anders Johan",0,39.0,1,5,347082,31.275,,S,Mr
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,14.0,0,0,350406,7.8542,,S,Miss
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,55.0,0,0,248706,16.0,,S,Mrs
17,0,3,"Rice, Master. Eugene",0,2.0,4,1,382652,29.125,,Q,Master
18,1,2,"Williams, Mr. Charles Eugene",0,32.37,0,0,244373,13.0,,S,Mr
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,31.0,1,0,345763,18.0,,S,Mrs
20,1,3,"Masselmani, Mrs. Fatima",1,35.9,0,0,2649,7.225,,C,Mrs
21,0,2,"Fynney, Mr. Joseph J",0,35.0,0,0,239865,26.0,,S,Mr
22,1,2,"Beesley, Mr. Lawrence",0,34.0,0,0,248698,13.0,D56,S,Mr
23,1,3,"McGowan, Miss. Anna ""Annie""",1,15.0,0,0,330923,8.0292,,Q,Miss
24,1,1,"Sloper, Mr. William Thompson",0,28.0,0,0,113788,35.5,A6,S,Mr
25,0,3,"Palsson, Miss. Torborg Danira",1,8.0,3,1,349909,21.075,,S,Miss
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,38.0,1,5,347077,31.3875,,S,Mrs
27,0,3,"Emir, Mr. Farred Chehab",0,32.37,0,0,2631,7.225,,C,Mr
28,0,1,"Fortune, Mr. Charles Alexander",0,19.0,3,2,19950,263.0,C23 C25 C27,S,Mr
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,21.77,0,0,330959,7.8792,,Q,Miss
30,0,3,"Todoroff, Mr. Lalio",0,32.37,0,0,349216,7.8958,,S,Mr
31,0,1,"Uruchurtu, Don. Manuel E",0,40.0,0,0,PC 17601,27.7208,,C,Rare
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,35.9,1,0,PC 17569,146.5208,B78,C,Mrs
33,1,3,"Glynn, Miss. Mary Agatha",1,21.77,0,0,335677,7.75,,Q,Miss
34,0,2,"Wheadon, Mr. Edward H",0,66.0,0,0,C.A. 24579,10.5,,S,Mr
35,0,1,"Meyer, Mr. Edgar Joseph",0,28.0,1,0,PC 17604,82.1708,,C,Mr
36,0,1,"Holverson, Mr. Alexander Oskar",0,42.0,1,0,113789,52.0,,S,Mr
37,1,3,"Mamee, Mr. Hanna",0,32.37,0,0,2677,7.2292,,C,Mr
38,0,3,"Cann, Mr. Ernest Charles",0,21.0,0,0,A./5. 2152,8.05,,S,Mr
39,0,3,"Vander Planke, Miss. Augusta Maria",1,18.0,2,0,345764,18.0,,S,Miss
40,1,3,"Nicola-Yarred, Miss. Jamila",1,14.0,1,0,2651,11.2417,,C,Miss
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,40.0,1,0,7546,9.475,,S,Mrs
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,27.0,1,0,11668,21.0,,S,Mrs
43,0,3,"Kraeff, Mr. Theodor",0,32.37,0,0,349253,7.8958,,C,Mr
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",1,3.0,1,2,SC/Paris 2123,41.5792,,C,Miss
45,1,3,"Devaney, Miss. Margaret Delia",1,19.0,0,0,330958,7.8792,,Q,Miss
46,0,3,"Rogers, Mr. William John",0,32.37,0,0,S.C./A.4. 23567,8.05,,S,Mr
47,0,3,"Lennon, Mr. Denis",0,32.37,1,0,370371,15.5,,Q,Mr
48,1,3,"O'Driscoll, Miss. Bridget",1,21.77,0,0,14311,7.75,,Q,Miss
49,0,3,"Samaan, Mr. Youssef",0,32.37,2,0,2662,21.6792,,C,Mr
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,18.0,1,0,349237,17.8,,S,Mrs
51,0,3,"Panula, Master. Juha Niilo",0,7.0,4,1,3101295,39.6875,,S,Master
52,0,3,"Nosworthy, Mr. Richard Cater",0,21.0,0,0,A/4. 39886,7.8,,S,Mr
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,49.0,1,0,PC 17572,76.7292,D33,C,Mrs
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,29.0,1,0,2926,26.0,,S,Mrs
55,0,1,"Ostby, Mr. Engelhart Cornelius",0,65.0,0,1,113509,61.9792,B30,C,Mr
56,1,1,"Woolner, Mr. Hugh",0,32.37,0,0,19947,35.5,C52,S,Mr
57,1,2,"Rugg, Miss. Emily",1,21.0,0,0,C.A. 31026,10.5,,S,Miss
58,0,3,"Novel, Mr. Mansouer",0,28.5,0,0,2697,7.2292,,C,Mr
59,1,2,"West, Miss. Constance Mirium",1,5.0,1,2,C.A. 34651,27.75,,S,Miss
60,0,3,"Goodwin, Master. William Frederick",0,11.0,5,2,CA 2144,46.9,,S,Master
61,0,3,"Sirayanian, Mr. Orsen",0,22.0,0,0,2669,7.2292,,C,Mr
62,1,1,"Icard, Miss. Amelie",1,38.0,0,0,113572,80.0,B28,C,Miss
63,0,1,"Harris, Mr. Henry Birkhardt",0,45.0,1,0,36973,83.475,C83,S,Mr
